Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2018-181706,24-Aug-17,27-Aug-17,Second Class,BN-96687,Bradley Nguyen,Corporate,United States,Dallas,Texas,93235,West,FUR-BO-93569,Furniture,Bookcases,Wall Bookcase,311.12,10,0.5,34.0948
2,CA-2018-112478,13-Jan-18,19-Jan-18,First Class,BN-34183,Ruben Ausman,Corporate,United States,Los Angeles,California,93801,East,TEC-MA-77689,Technology,Machines,HP Printer,589.64,3,0.1,31.1647
3,CA-2018-163956,08-Jul-17,15-Jul-17,Standard Class,DL-47614,Michael Chen,Home Office,United States,Seattle,Florida,94739,South,TEC-PH-19887,Technology,Phones,Samsung Galaxy,983.56,10,0.0,260.9325
4,CA-2016-181048,17-May-16,23-May-16,Same Day,KT-44727,Bradley Nguyen,Home Office,United States,Seattle,New York,94195,West,FUR-BO-84669,Furniture,Bookcases,5-Shelf Bookcase,980.67,6,0.3,121.7515
5,CA-2018-111517,21-Sep-16,26-Sep-16,Same Day,SM-12093,Jane Smith,Corporate,United States,Los Angeles,New York,95744,South,TEC-MA-55693,Technology,Machines,Dell Scanner,429.68,3,0.0,76.7969
6,CA-2016-122546,11-Dec-18,12-Dec-18,Standard Class,KT-52427,John Brown,Consumer,United States,Dallas,Florida,97851,East,FUR-TA-81806,Furniture,Tables,Work Desk,811.25,3,0.3,141.63
7,CA-2017-178463,28-Aug-17,30-Aug-17,Same Day,DL-25385,David White,Home Office,United States,New York,Florida,95428,South,OFF-ST-58773,Office Supplies,Storage,Sauder Shelf,363.8,2,0.5,20.2348
8,CA-2017-192589,06-Sep-17,11-Sep-17,First Class,SM-15931,Jane Smith,Corporate,United States,Los Angeles,Texas,90052,East,TEC-MA-31595,Technology,Machines,Canon Copier,407.08,1,0.5,25.3046
9,CA-2016-139720,03-Jun-17,07-Jun-17,First Class,SM-94364,David White,Home Office,United States,Seattle,Texas,93941,West,TEC-MA-60825,Technology,Machines,Canon Copier,308.15,5,0.2,64.3475
10,CA-2017-190310,23-May-17,28-May-17,Same Day,BN-47080,Jane Smith,Corporate,United States,New York,Washington,91402,West,OFF-SU-32829,Office Supplies,Supplies,Glue Stick,982.29,1,0.3,196.4103
11,CA-2017-168646,07-Jan-17,12-Jan-17,Second Class,RA-11728,Michael Chen,Corporate,United States,Dallas,Washington,93540,Central,TEC-MA-46455,Technology,Machines,Dell Scanner,261.95,5,0.1,52.261
12,CA-2016-138045,18-Jul-17,21-Jul-17,Second Class,DL-58076,Sarah Lee,Home Office,United States,New York,Texas,96997,East,OFF-ST-10733,Office Supplies,Storage,Eldon Base,693.69,4,0.3,35.1758
13,CA-2016-177541,02-Feb-17,07-Feb-17,Standard Class,KT-70924,Bradley Nguyen,Home Office,United States,New York,Texas,96475,Central,TEC-AC-63485,Technology,Accessories,Webcam,659.56,7,0.0,160.1508
